bid,name,pattern,subPattern,expected,got,delta,deltaAbs
5255752,Future Candy(leo137) x1.5,tech,stream tech,15,15.0,0.0,0.0
4168392,Luminous Story(Magikarp1234),tech,stream tech,12.7,12.49,0.21,0.21
3915895,Playing with Ruby(ska) x1.2,tech,stream tech,13.4,13.4,0.0,0.0
4788540,The Poetic Edda(kilotek),tech,stream tech,14.6,14.65,-0.05,0.05
4432318,Possessed By The Blood(ska) x1.25,tech,stream tech,15.2,15.42,-0.22,0.22
3681342,Heikousen(lynessa) x1.15,tech,stream tech,14.6,14.5,0.1,0.1
3681345,Heikousen(lynessa) x1.2,tech,stream tech,15,14.77,0.23,0.23
3249835,Louder than steel(ska) x1.25,tech,stream tech,14.9,15.0,-0.1,0.1
4507383,Bismuth[Singularity](ababa),tech,stream tech,14.6,15.1,-0.5,0.5
5174997,Bismuth[Supernova](archaic),tech,stream tech,14.4,14.35,0.05,0.05
5167720,Bismuth[Nebula](eclipse),tech,stream tech,11.4,11.52,-0.12,0.12
3444323,Nostos2021(xingren),tech,stream tech,17,17.18,-0.18,0.18
4130341,Re Aoharu(11bit),tech,stream tech,13.2,12.99,0.21,0.21
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 1st ~ (Marathon)],course,rc course,1,1.55,-0.55,0.55
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 2nd ~ (Marathon)],course,rc course,2,2.21,-0.21,0.21
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 3rd ~ (Marathon)],course,rc course,3,2.97,0.03,0.03
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 4th ~ (Marathon)],course,rc course,4,4.31,-0.31,0.31
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 5th ~ (Marathon)],course,rc course,5,5.06,-0.06,0.06
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 6th ~ (Marathon)],course,rc course,6,6.42,-0.42,0.42
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 7th ~ (Marathon)],course,rc course,7,6.81,0.19,0.19
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 8th ~ (Marathon)],course,rc course,8,8.14,-0.14,0.14
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 9th ~ (Marathon)],course,rc course,9,9.94,-0.94,0.94
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 10th ~ (Marathon)],course,rc course,10,10.59,-0.59,0.59
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-ALPHA ~ (Marathon)],course,rc course,11,11.46,-0.46,0.46
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-BETA ~ (Marathon)],course,rc course,12,12.49,-0.49,0.49
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-GAMMA ~ (Marathon)],course,rc course,13,13.14,-0.14,0.14
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-DELTA ~ (Marathon)],course,rc course,14,14.21,-0.21,0.21
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-EPSILON ~ (Marathon)],course,rc course,15,15.24,-0.24,0.24
,Various Artists - Dan ~ REFORM ~ FINAL ([GB]Thaumiel) [~ FINAL - ETA ~ ( Marathon )],course,rc course,17,17.12,-0.12,0.12
5319863,Dan - Signicial's Courses[[4K] Stage III - Termination [3rd Dan] (Marathon)],course,rc course,3.1,2.45,0.65,0.65
5319952,Dan - Signicial's Courses[[4K] Stage IV - Resuscitation [4th Dan] (Marathon)],course,rc course,3.7,4.06,-0.36,0.36
5031832,Dan - Signicial's Courses[[4K] Stage V - Disturbance [5th Dan] (Marathon)],course,rc course,4.6,4.93,-0.33,0.33
5031833,Dan - Signicial's Courses[[4K] Stage VI - Revitalization [6th Dan] (Marathon)],course,rc course,5.6,5.32,0.28,0.28
5320775,Dan - Signicial's Courses[[4K] Stage VII - Motivation [7th Dan] (Marathon)],course,rc course,6.4,6.62,-0.22,0.22
5320776,Dan - Signicial's Courses[[4K] Stage VIII - Misfortune [8th Dan] (Marathon)],course,rc course,7.5,7.19,0.31,0.31
5320774,Dan - Signicial's Courses[[4K] Stage IX - Catastrophe [9th Dan] (Marathon)],course,rc course,8.7,8.35,0.35,0.35
5031834,Dan - Signicial's Courses[[4K] Stage X - Finale [10th Dan] (Marathon)],course,rc course,9.6,9.52,0.08,0.08
3216602,Dan - Signicial's Courses[[4K] Stage XI - Alpha [11th Dan] (Marathon)],course,rc course,10.5,10.64,-0.14,0.14
5637760,Dan - Signicial's Courses[[4K] Special Stage I - Luminal [11.5th Dan] (Marathon)],course,rc course,11.1,10.98,0.12,0.12
3216603,Dan - Signicial Courses[[4K] Stage XII - Beta [12th Dan] (Marathon)],course,rc course,11.8,12.14,-0.34,0.34
3216604,Dan - Signicial's Courses[[4K] Stage XIII - Gamma [13th Dan] (Marathon)],course,rc course,12.7,12.77,-0.07,0.07
3216606,Dan - Signicial's Courses[[4K] Stage XIV - Delta [14th Dan] (Marathon)],course,rc course,13.7,13.79,-0.09,0.09
5442562,Dan - Signicial's Courses[[4K] Special Stage II - Tachyon [14.5th Dan] (Marathon)],course,rc course,14.3,14.3,0.0,0.0
3216605,Dan - Signicial's Courses[[4K] Last Stage - Epsilon [15th Dan] (Marathon)],course,rc course,14.9,14.89,0.01,0.01
5370092,Dan - Signicial's Courses[[4K] Extra Stage I - Zeta [16th Dan] (Marathon)],course,rc course,16.1,15.88,0.22,0.22
5597992,Dan - Signicial's Courses[[4K] Extra Stage II - Eta [17th Dan] (Marathon)],course,rc course,17.1,17.01,0.09,0.09
5680925,Dan - Signicial's Courses[[4K] Extra Stage III - Theta [18th Dan] (Marathon)],course,rc course,17.9,17.18,0.72,0.72
5695357,Reincarnation(signicial dan),jack,low chordjack,2.9,1.88,1.02,1.02
5695347,Backyun! - BAD GIRL -(signicial dan),jack,low chordjack,3.7,3.65,0.05,0.05
5695360,air's gravity(signicial dan),jack,low chordjack,4.8,5.21,-0.41,0.41
5695358,Another Medium(signicial dan),jack,low chordjack,5.6,5.57,0.03,0.03
5695355,Saltwater Chicken & Duck Roasted Chicken & Duck(signicial dan),jack,low chordjack,6.6,6.56,0.04,0.04
5695349,EVERGREEN(signicial dan),jack,mid chordjack,7.4,7.74,-0.34,0.34
5695345,Alea jacta est(signicial dan),jack,low chordjack,8.4,7.74,0.66,0.66
5695353,What is love(signicial dan),jack,high chordjack,9.1,8.63,0.47,0.47
5695359,Count What You Have Now(signicial dan) x1.05,jack,high chordjack,10.3,10.14,0.16,0.16
5590322,Cryonix(signicial dan),jack,low chordjack,11.5,10.98,0.52,0.52
5695348,lost found melody(signicial dan),jack,low chordjack,11.8,12.05,-0.25,0.25
5695354,The Safari(signicial dan),jack,anchor chordjack,12.6,12.76,-0.16,0.16
5695350,Nijiiro Kekkai Gekkyou no Goku(signicial dan),jack,anchor chordjack,13.6,13.57,0.03,0.03
5590317,Nijuu(signicial dan),jack,anchor chordjack,14.5,14.33,0.17,0.17
5695352,Ragnarok(signicial dan) x0.9,jack,high chordjack,16.1,15.99,0.11,0.11
5370048,Ambitious(signicial dan),tech,stream tech,3.3,2.64,0.66,0.66
5370044,for Q(signicial dan),tech,stream tech,3.7,3.58,0.12,0.12
5370045,kibou no tsuki(signicial dan),tech,jack tech,4.5,4.22,0.28,0.28
5370043,BIRTH(signicial dan),tech,stream tech,5.7,4.79,0.91,0.91
5370047,girls.exe(signicial dan),tech,stream tech,6.4,6.35,0.05,0.05
5370050,Hestia(signicial dan),tech,stream tech,7.8,6.59,1.21,1.21
5370046,T'Suramic(signicial dan),tech,stream tech,9.6,8.41,1.19,1.19
5370036,Nowise(signicial dan),tech,jack tech,10.5,9.93,0.57,0.57
5590320,Veins Resonance(signicial dan),tech,jack tech,10.7,9.78,0.92,0.92
5370049,Rainshower(signicial dan),tech,jack tech,11.6,11.02,0.58,0.58
5370039,Sulfide(signicial dan),tech,stream tech,13.5,13.54,-0.04,0.04
5590318,sirens eye(signicial dan),tech,stream tech,14.4,14.29,0.11,0.11
5370038,POLYBIUS GB SPEEDRUN(signicial dan) x1.2,tech,stream tech,14.8,14.92,-0.12,0.12
5370037,NUCLEAR-STAR(signicial dan),tech,stream tech,16.2,16.39,-0.19,0.19
5366872,Phi(signicial dan),speed,low stream,3.1,3.45,-0.35,0.35
5375029,498 Tokio(signicial dan),speed,low stream,3.8,3.77,0.03,0.03
5366871,The Wanderlast(signicial dan),speed,low stream,4.4,4.77,-0.37,0.37
5366875,BREAK IT(signicial dan),speed,mid stream,5.8,5.92,-0.12,0.12
5366877,Serendipity(signicial dan),speed,low stream,6.1,6.17,-0.07,0.07
5366870,Eureka(signicial dan),speed,low stream,7.3,7.2,0.1,0.1
5366868,Angel Halo(signicial dan),speed,high stream,9.1,8.69,0.41,0.41
5366867,cold planet(signicial dan),speed,high stream,9.6,9.56,0.04,0.04
5366873,NightTheater(signicial dan),speed,high stream,10.7,10.47,0.23,0.23
5590323,Kyoumen no Nami(signicial dan),speed,mid stream,11.7,11.59,0.11,0.11
5366863,DON'T GIVE A FUCK(signicial dan),speed,high stream,11.6,11.27,0.33,0.33
5366874,Nirmiti(signicial dan),speed,high stream,12.9,12.94,-0.04,0.04
5366864,Tojita Sekai(signicial dan),speed,low stream,13.9,14.27,-0.37,0.37
5590321,Nevereverland(signicial dan) x1.05,speed,mid stream,14.5,14.74,-0.24,0.24
5366865,Disconnected Trance(signicial dan) x1.05,speed,mid stream,14.9,15.05,-0.15,0.15
5375823,Kouyou(signicial dan),stamina,light jumpstream,3.1,2.58,0.52,0.52
5375826,Ouka Sange(signicial dan),stamina,light handstream,4.7,5.04,-0.34,0.34
5375824,Blue Moon(signicial dan),stamina,dense handstream,5.9,5.67,0.23,0.23
5375829,Synthesis.(signicial dan),stamina,light handstream,6.4,6.59,-0.19,0.19
5375819,Literal Crystal in Cyphisonia(signicial dan),stamina,dense jumpstream,7.6,7.13,0.47,0.47
5375831,CERCA-ESOTERICA(signicial dan),stamina,dense handstream,8.6,8.48,0.12,0.12
5375820,Kisaragi(signicial dan),stamina,dense jumpstream,9.8,9.89,-0.09,0.09
5375825,Sendan Life(signicial dan),stamina,light jumpstream,10.7,10.85,-0.15,0.15
5590319,Chronicle(signicial dan),stamina,dense handstream,10.8,10.72,0.08,0.08
5375822,The Limit Does Not Exist(signicial dan),stamina,dense jumpstream,12.2,12.37,-0.17,0.17
5375821,[ns](signicial dan),stamina,dense jumpstream,12.6,12.77,-0.17,0.17
5375845,Excuse Me But Could You Please RIP(signicial dan),stamina,dense handstream,13.8,14.03,-0.23,0.23
5590316,Get into the Abyssmare(signicial dan) x1.2,stamina,dense handstream,14.2,14.1,0.1,0.1
5375828,Juggernaut(signicial dan) x1.25,stamina,dense handstream,15,14.81,0.19,0.19
5375817,LA MD(signicial dan) 0.9x,stamina,dense jumpstream,16.1,15.14,0.96,0.96
5598212,SIVA(signicial dan),jack,high chordjack,17.2,17.28,-0.08,0.08
5598211,silly-willy-nilly(signicial dan),tech,jack tech,16.6,16.56,0.04,0.04
5600849,The Final Musical Dance I(signicial dan) x1.025,speed,low stream,17.3,17.57,-0.27,0.27
5598209,EMPIRE OF FLAME(signicial) x1.15,stamina,dense handstream,17.4,16.26,1.14,1.14
5680975,Heaven's Fall(signicial dan),jack,anchor chordjack,17.6,17.19,0.41,0.41
5679828,Necrophagiatoast(signicial dan) x1.075,tech,stream tech,17.8,17.6,0.2,0.2
5679829,Discharge(signicial) x1.15,speed,low stream,18,17.54,0.46,0.46
5680977,It Has To Be This Way(signicial dan),stamina,dense handstream,18.3,17.74,0.56,0.56
5253584,Life Garden(follow speed dan),speed,low stream,10.3,10.46,-0.16,0.16
5253560,Elsa de la bibliotheque(follow speed dan),speed,mid stream,10.3,10.41,-0.11,0.11
5253572,Chou Aoshiyounen no Tame no Choutan na Choukoten Choubukyoku(follow speed dan),speed,high stream,10.3,10.41,-0.11,0.11
5253585,Hoshi ga Furanai Machi(follow speed dan),speed,high stream,10.4,10.26,0.14,0.14
5253561,Scarlet Tempest(follow speed dan),speed,mid stream,10.4,10.51,-0.11,0.11
5253573,Otenba Renjyo(follow speed dan),speed,high stream,10.4,11.3,-0.9,0.9
5253586,Flower Dance(follow speed dan),speed,high stream,11.2,10.66,0.54,0.54
5253562,Hymn(follow speed dan),speed,mid stream,11.2,10.96,0.24,0.24
5253574,yo ma ya ko(follow speed dan),speed,high stream,11.2,10.61,0.59,0.59
5253587,The Crimson Empire(follow speed dan),speed,high stream,12.4,12.42,-0.02,0.02
5253563,Anhedonia(follow speed dan),speed,mid stream,12.4,12.91,-0.51,0.51
5253575,Sora no Hajimaru Basho(follow speed dan),speed,high stream,12.4,12.49,-0.09,0.09
5253588,ntelecheia(follow speed dan),speed,high stream,13.4,13.05,0.35,0.35
5253564,Imitation of fragrance(follow speed dan),speed,mid stream,13.4,13.12,0.28,0.28
5253576,Brionac Lugh Lamhfhata(follow speed dan),speed,high stream,13.4,13.08,0.32,0.32
5253589,End Time(follow speed dan),speed,high stream,13.6,13.51,0.09,0.09
5253565,AIR(follow speed dan),speed,mid stream,13.6,13.25,0.35,0.35
5253577,Akasha(follow speed dan),speed,high stream,13.6,13.61,-0.01,0.01
5253590,Metheus(follow speed dan),speed,high stream,14,13.88,0.12,0.12
5253566,BABYLON(follow speed dan),speed,mid stream,14,14.15,-0.15,0.15
5253578,weenywalker(follow speed dan),speed,low stream,14,14.07,-0.07,0.07
5253591,osanagokoro chi no uchouten(follow speed dan),speed,high stream,14.4,14.22,0.18,0.18
5253567,hiiro gekka kyosakinoze(follow speed dan),speed,mid stream,14.4,13.88,0.52,0.52
5253579,Dark Flight Dreamer(follow speed dan),speed,high stream,14.4,14.31,0.09,0.09
5253592,Love Lie(follow speed dan),speed,high stream,14.6,14.42,0.18,0.18
5253568,Palette(follow speed dan),speed,mid stream,14.6,14.44,0.16,0.16
5253580,M-A(follow speed dan),speed,mid stream,14.6,14.35,0.25,0.25
5253583,kori metsuno 135 shosetsu(follow speed dan),speed,high stream,15,15.04,-0.04,0.04
5253559,Nibelungen(follow speed dan),speed,mid stream,15,15.09,-0.09,0.09
5253571,Fake(follow speed dan),speed,high stream,15,14.79,0.21,0.21
5253594,Regression(follow speed dan),speed,high stream,15.4,15.15,0.25,0.25
5253570,Kinki to Hiiro Gensou -The Primary Plasm-(follow speed dan),speed,mid stream,15.4,15.24,0.16,0.16
5253582,Decoy(follow speed dan),speed,high stream,15.4,15.28,0.12,0.12
